teamID,leagueID,bottle_score
71,1,1.1346354265225762
72,1,1.5018227582411545
73,1,1.3498661561127814
74,1,1.4551592923275465
75,1,1.1937901891500076
76,1,1.375658289991949
77,1,1.4489919345144078
78,1,1.3211421147792382
79,1,1.0261728173545623
80,1,1.0791413784216004
81,1,1.4371174860808724
82,1,1.8581977836017018
83,1,1.8119127013685006
84,1,1.672482098756561
85,1,1.7236518586652005
86,1,1.2037685017834445
87,1,1.6184687059032223
88,1,1.2925030741217782
89,1,1.8309756570997318
90,1,1.247613696459823
91,1,1.4400796518564083
92,1,1.1846569863091736
93,1,1.2124690970371508
94,2,1.217965351108373
95,2,1.8950252517309838
96,2,1.7709660936515486
97,2,1.1864947147314917
98,2,0.13746054812773503
99,2,1.2640417378133078
100,2,1.6101351683364304
101,2,1.3777026197510196
102,2,1.4447378635527297
103,2,1.4400796518564083
104,2,1.4917189026675144
105,2,1.8917044692040144
106,2,1.6419446707531
107,2,1.5730963008361916
108,2,1.466056665292264
109,2,1.4979248048334786
110,2,1.6074915322682057
111,2,1.67811101281555
112,2,1.125864161534497
113,2,1.4320655921446073
114,2,1.1666666666666667
115,2,0.9697428027563877
116,2,1.1309428490912063
117,3,0.0
118,3,1.5217272329530775
119,3,1.753268311544367
120,3,1.5477709600615321
121,3,1.3443528115120873
122,3,1.4296121920019864
123,3,1.365552697011983
124,3,1.5528343211376803
125,3,1.3219317475438392
126,3,1.5119967377072534
127,3,1.3761380766684808
128,3,1.3270515038849722
129,3,1.861523608660823
130,3,1.710752125352149
131,3,1.5444580206541445
132,3,1.41460834353119
133,3,1.2867671129094704
134,3,1.3634831308319342
135,3,1.225705589531948
136,3,1.5775872011872967
137,4,1.764400813774544
138,4,1.768012992624213
139,4,1.4518096500450024
140,4,1.5427097145073325
141,4,1.5341066761126907
142,4,1.3260219946100544
143,4,1.7998509968861263
144,4,1.4649284002466632
145,4,1.4649111095831282
146,4,1.6067793510307327
147,4,1.5672680392502172
148,4,0.6612700719372588
149,4,1.4077208740712566
150,4,1.4564029621826475
151,4,1.1585394278349905
152,4,1.4311716480395307
153,4,1.329792411830197
154,4,1.703469938209596
155,4,1.2363314350922852
156,4,1.2927177757661565
157,4,0.9664662910246992
158,4,1.1162781101556678
159,4,1.060798685811081
160,5,1.5162456958112411
161,5,0.4761904761904762
162,5,1.7481439471603633
163,5,1.6294915149782965
164,5,1.7375780836721115
165,5,1.5114468110196113
166,5,1.4859796816565467
167,5,1.2554707447026903
168,5,1.3718715755390776
169,5,1.547220955484603
170,5,1.6784656801786049
171,5,1.5013163460685512
172,5,1.1862962796825884
173,5,1.385678968042458
174,5,1.2441537670807143
175,5,1.6308250919199523
176,5,1.5300799198334314
177,5,1.2708710928270184
178,5,1.88551763265195
179,5,1.3081152609741742
180,5,1.1207222686652332
181,5,0.9744220866701069
182,5,1.2124690970371508
202,1,1.5
203,2,1.5
205,3,1.0833333333333333
206,4,1.5
207,4,1.2626539434585733
208,4,1.558888839047765
209,5,1.6200896083384593
210,5,1.1624302971676512
219,1,0.9999311864547249
220,1,0.8847982511837775
221,2,0.9600941758739503
222,2,0.7700149347230765
223,4,1.1848921373429269
224,5,0.9914438640587665
225,5,0.9567617279142685
227,1,0.9000497824102551
228,1,0.7030396122363447
229,1,1.0430913568644646
230,2,0.9934513534024814
231,4,0.7649873399567716
232,4,0.7030396122363447
233,3,0.9373469117979275
234,3,0.8333333333333334
235,5,0.8375106826798873
238,1,0.7399114974251996
239,4,0.6928394840212289
240,3,0.8540410986329444
241,5,0.6847242010151914
242,2,0.6928394840212289
243,2,0.720039825928204
245,1,0.7348672461377994
260,2,0.6061630334067722
261,4,0.6803950000871885
262,3,0.5693943173783458
